,0
id,11.87751773427479
RaceNumber,0.0
RaceName,0.0
RaceTitle,0.0
RaceDistance,0.0
Place,0.03704629557534454
HorseName,0.0
Prizemoney,0.0
Row,0.0
Trainer,0.0
Driver,0.0
Margin,0.03704629557534454
StartingOdds,0.0
StewardsComments,0.3524315729512866
Scratching,100.0
TrackRating,47.53990467955364
Gross_Time,16.422655612882604
Mile_Rate,16.422655612882604
Lead_Time,16.422655612882604
First_Quarter,16.422655612882604
Second_Quarter,16.422655612882604
Third_Quarter,16.422655612882604
Fourth_Quarter,16.422655612882604
Venue,0.0
DayCalender,0.0
Handicap,0.0
Leader,47.53990467955364
GateSpeed,47.53990467955364
Placer,0.03704629557534454
HorseID,0.0
Age,0.0
Colour,0.0
Sire,0.0
Sex,0.0
Winner,0.03704629557534454
Firststarter,52.46009532044636
LifetimeRuns,52.46009532044636
RecentRuns,52.46009532044636
LifetimeWins,52.46009532044636
LifetimeSeconds,52.46009532044636
LifetimeThirds,52.46009532044636
LifetimePlacings,52.46009532044636
LifetimeWinPercent,52.46009532044636
LifetimePlacePercent,52.46009532044636
RecentPlacePercent,52.46009532044636
RecentWinPercent,52.46009532044636
RecentPlacings,52.46009532044636
RecentThirds,52.46009532044636
RecentSeconds,52.46009532044636
RecentWins,52.46009532044636
Class,52.46009532044636
Dayssincelast,52.46009532044636
Gatespeedstrikerate,52.46009532044636
broken,52.46009532044636
LeaderStrikeRate,52.46009532044636
laststart,52.46009532044636
start2,52.46009532044636
start3,52.46009532044636
start4,52.46009532044636
MarginWinner,52.4971416160217
SameDistance,88.12248226572521
FiftyPercentile,100.0
BestMileRateint,100.0
Leading,86.52973743847815
Deathseat,81.73912687126823
OneBehind,97.15153328224442
OneOne,97.10014384125826
FifthPegs,97.3023412111352
Worsethanfifth,64.3746593502965
Trainerruns,100.0
Trainerstrikerate,100.0
Driverstrikerate,100.0
Driverruns,100.0
NumberofHorses,100.0
Racesfromsecondrow,100.0
Racesfromfrontrow,100.0
GSfromdrawonetwo,100.0
GSfromdrawthreefour,100.0
GSfromdrawrestoffront,100.0
GSandleadwhengsinside,100.0
GSandleadwhengsoutside,100.0
firsttimeatdistance,100.0
upindistance,88.12248226572521
downindistance,88.12248226572521
mostrunsatdistance,100.0
aveprizemoney,100.0
countgatespeedonfrontrow,100.0
homevenue,100.0
driverchange,88.12248226572521
trainerchange,88.12248226572521
trackchange,100.0
bestwinningmileratelastwin,100.0
standingstartlaststart,97.6119072695159
insiderunningline,73.1860223998951
outsiderunningline,91.18912871538691
mobilestart,66.7627520807806
BSP,66.16665095750741
weather,66.16665095750741
trackCondition,66.47064367938562
Horsename50,100.0
RowLastStart,88.1428085517931
DistanceLastStart,88.12248226572521
TrainerLastStart,88.12248226572521
DriverLastStart,88.12248226572521
StewardsFull,88.17624857080801
BestWinningMile,88.12248226572521
TimeLead,88.12248226572521
TimeGateSpeed,88.12248226572521
TimeBroken,88.12248226572521
PrizemoneyLastStart,88.12248226572521
Triallaststart,88.12248226572521
Standlaststart,88.12248226572521
racetime,88.12248226572521
morningrace,88.12248226572521
eveningrace,88.12248226572521
Timelastrace,88.12248226572521
morningracelaststart,88.12248226572521
eveningracelaststart,88.12248226572521
Prizemoneylastrace,88.12248226572521
startingprice1,88.12248226572521
avestake,88.12248226572521
totalprize,88.12248226572521
sametrack,88.12248226572521
prizemoneysame,88.12248226572521
prizemoneyup,88.12248226572521
prizemoneydown,88.12248226572521
Tracklaststart,88.12248226572521
tracknamelaststart,88.12248226572521
trials,88.12248226572521
aveplace,88.12248226572521
countld1,88.12248226572521
countld2,88.12248226572521
countld3,88.12248226572521
countld4,88.12248226572521
countfront1,88.12248226572521
countfront2,88.12248226572521
countfront3,88.12248226572521
countfront4,88.12248226572521
countofdeath,88.12248226572521
frontrow,88.12248226572521
secondrow,88.12248226572521
NumberTrainer,88.12248226572521
